neighbor_0_id,neighbor_1_id,neighbor_2_id,neighbor_3_id,neighbor_4_id,neighbor_5_id,neighbor_6_id,neighbor_7_id,neighbor_8_id,neighbor_9_id,neighbor_0_dist,neighbor_1_dist,neighbor_2_dist,neighbor_3_dist,neighbor_4_dist,neighbor_5_dist,neighbor_6_dist,neighbor_7_dist,neighbor_8_dist,neighbor_9_dist
203502,310588,750677,812037,772364,133942,825492,899400,258254,362478,2.734079842747761e-06,3.542671310863277e-06,5.279593152107687e-06,8.82294187865007e-06,9.278191545947223e-06,9.838025666342176e-06,1.0537694531964625e-05,1.0781292508865725e-05,1.1941318229791165e-05,1.3768626888732705e-05
985572,910576,567567,607444,682221,693769,717259,617719,234543,753639,4.685928459702282e-07,3.2771341479387317e-06,7.971850814469938e-06,1.2209898041182221e-05,1.2494530241990986e-05,1.7685284727009254e-05,1.8885927044465234e-05,1.991724650329818e-05,2.131924136095087e-05,2.1723961388442348e-05
16558,534294,290174,892417,437115,721600,251970,417213,82733,639392,4.976031323655761e-07,3.679284942936789e-06,4.407118381455355e-06,5.847522883239975e-06,8.166617405658272e-06,1.5882172521797244e-05,1.711493158740307e-05,1.8305275431118595e-05,2.1589747127959136e-05,2.4345434709527325e-05
276076,894203,951574,796369,541747,921856,106887,33619,172979,858228,4.275512958118455e-06,5.5513690021546935e-06,6.601872204581305e-06,7.2700207768283676e-06,9.131366018211295e-06,1.0241273784683536e-05,1.235745087890816e-05,1.2870889866123392e-05,1.3129888414842306e-05,1.586738735004367e-05
188127,77987,780759,305145,876512,871456,269806,245516,968898,30284,9.486644452216808e-07,1.1580359869922674e-06,1.6468023738003268e-06,2.363179758768652e-06,2.5937518965957196e-06,2.61746721741396e-06,2.7218256984928857e-06,2.957431896710716e-06,3.0268406364664102e-06,4.428676674828047e-06
517578,605230,608743,129300,32977,134686,959630,761162,952603,661343,2.609589316304728e-06,3.3963400701830793e-06,5.1673627172732495e-06,5.245671183096157e-06,6.491285119647472e-06,7.266137701189557e-06,1.6684081236895132e-05,1.7536688127206546e-05,2.0889772559096187e-05,2.1287347503951004e-05
422992,971668,221952,929332,670583,360635,627983,839657,192381,292898,8.963494502967073e-06,1.3905448410400645e-05,1.483128609247597e-05,2.0426067263823455e-05,2.256398051558861e-05,2.4588101498079773e-05,2.931655434601499e-05,3.0475022319342848e-05,3.196463145682671e-05,3.4415898572559556e-05
857763,738211,962262,533866,435995,69632,471101,950019,81421,673055,4.832982094304938e-06,5.841585752341949e-06,1.1937449697851932e-05,1.2787576582629079e-05,1.4538186237755824e-05,1.6729250784663918e-05,2.264414071362353e-05,2.310261096627464e-05,2.6578307308899873e-05,3.009185382241153e-05
422061,405699,851655,696238,568446,848441,643256,571929,661711,623065,2.7568184846060717e-08,2.046108057429663e-07,2.577273190529361e-06,3.742521350602601e-06,6.225759472844317e-06,9.398283974282329e-06,1.1007342320845659e-05,1.2575124591518438e-05,1.2657467925003552e-05,1.778344766978357e-05
135967,801167,71857,890756,232599,713084,636897,169361,989817,364861,2.619889013621979e-06,3.7077903736193463e-06,6.694249136462993e-06,1.241596371903686e-05,2.355076499360731e-05,2.507536016482792e-05,3.688454883887804e-05,3.801048800711193e-05,4.403739040970134e-05,4.624755791970969e-05
840589,482575,349622,522689,582014,419388,261799,558143,683133,251556,1.2370564376196214e-06,1.2650049686646625e-06,2.4898522090754938e-06,6.5734517745719145e-06,7.495038987226366e-06,7.638472064863677e-06,8.976414120676068e-06,1.1103254022648557e-05,1.3073294302556882e-05,1.7628992829976653e-05
976115,540090,453770,477596,793842,811455,161296,768688,955278,931392,1.236257719305911e-06,2.4480897439227434e-06,3.5221199442547757e-06,6.243254069504545e-06,9.004995758288281e-06,1.2252768821552351e-05,1.3466095982850312e-05,1.601706931719793e-05,1.6670800137008612e-05,1.7194352760152576e-05
134178,138219,542033,328786,914684,49659,351220,845732,142073,283738,9.780143285231802e-07,3.3961822144545906e-06,8.03226553747205e-06,9.974366223852726e-06,1.0805848108752514e-05,1.174549253557533e-05,1.2037181902124772e-05,1.526466016599226e-05,1.681986611878905e-05,2.1495879300004184e-05
5278,887499,996208,543214,18254,36582,368983,388015,349259,768677,4.871916124971065e-06,4.989377240138815e-06,9.869162449938074e-06,1.3362321220733442e-05,1.4046002269174629e-05,1.6298761069233336e-05,1.7712481588438855e-05,1.907253374411333e-05,1.9693545421861636e-05,2.6463212168814643e-05
245396,327457,267069,240457,600782,321568,582450,45511,472895,761324,2.5173860289662287e-06,5.477065260106606e-06,8.602004535118724e-06,9.148696594074579e-06,1.5103967547780428e-05,1.848277152460831e-05,1.9302424289713294e-05,2.2429002850099522e-05,2.3211060498407043e-05,2.324737598791149e-05
719179,153454,163332,723099,824675,949635,520495,314590,708122,184643,5.974981149292624e-06,7.729401478973053e-06,8.282184960295425e-06,1.2657154395356862e-05,1.2743650724011957e-05,1.830958512794023e-05,1.998184739016029e-05,2.0035155824826845e-05,2.0121394392225156e-05,3.367950999766389e-05
301216,277405,140983,16171,831409,904064,248105,792043,873328,851022,9.232999184094481e-07,2.192731797023839e-06,2.5470718855169494e-06,5.57093088793259e-06,7.473864548024345e-06,8.378239262030185e-06,9.073387096658614e-06,1.0554170158716403e-05,1.5670490038033336e-05,1.8735457388174837e-05
142019,26331,804078,949628,889855,821177,293090,985115,35159,93062,1.4867175430754997e-06,1.9667783088817004e-06,2.1590463015197514e-06,2.671591636471682e-06,3.906879935788865e-06,4.106380069091031e-06,4.644519623342447e-06,8.58650633972502e-06,1.2711842005241891e-05,1.2755461488822561e-05
162708,354579,944965,981308,378113,134515,584041,243888,839581,327015,1.0582095302247296e-06,1.3554779623170532e-06,2.6809472937205925e-06,3.232544002029769e-06,6.161024119544223e-06,7.494581083733465e-06,9.158899805683518e-06,9.28903317332086e-06,1.1579357904523135e-05,1.2957026683357853e-05
458494,29828,143186,150526,428838,80134,597980,333755,435787,264078,3.6998587918946058e-06,5.7416742897942186e-06,8.332663047672106e-06,1.0814500197797727e-05,1.1241476815415652e-05,1.1401889741469162e-05,1.2673813455377214e-05,1.5593402780900156e-05,1.7589640139425988e-05,1.926236385940694e-05
558978,349132,54334,263043,895026,810512,980805,521525,658484,805073,1.1069452763301513e-06,1.3275230152931528e-06,5.05163116437668e-06,8.878667221767778e-06,9.98573725119467e-06,1.596757555744066e-05,1.711379969737692e-05,1.8436763858820093e-05,1.963637869273338e-05,2.0394352255315162e-05
268279,623124,498026,166386,960494,127801,870538,328423,441627,57354,2.071756279087289e-06,1.3620069998054873e-05,1.3783211790352468e-05,1.7279180999141275e-05,1.830240668510008e-05,1.9832275718223435e-05,1.9976778576014098e-05,2.0723271419442746e-05,2.5367977921297857e-05,2.851971976347567e-05
841492,149371,453957,709803,835717,99247,688053,392810,836807,569348,1.7189054549726634e-06,3.938932307878673e-06,7.482921330792536e-06,7.52693622529943e-06,8.570786750317083e-06,8.680895551838042e-06,9.173117551553034e-06,9.408432287361101e-06,1.0889295652405373e-05,1.382004285488403e-05
334528,229243,217028,75528,485138,397830,484937,256164,399996,810819,2.7941643718776277e-06,4.834899629435618e-06,6.1440077020469275e-06,9.353734900185984e-06,1.0082512329256943e-05,1.1446333442743928e-05,1.2875983145366199e-05,1.3559679665653412e-05,1.383414757050172e-05,1.397649360557196e-05
708767,396281,279866,683238,349405,309284,316592,535772,497173,376015,4.8677525991136505e-06,8.037082749323687e-06,9.81075424855149e-06,1.1384980202255868e-05,1.1572236330636976e-05,1.2265436105662886e-05,1.3938924208978243e-05,1.908038751108343e-05,2.0389577376267454e-05,2.1428618923180487e-05
98754,960234,901898,604324,248288,30250,40904,677042,220959,876608,1.043960649826925e-05,1.7755366605975986e-05,1.7913680462111614e-05,1.845054623395015e-05,2.2732163257210836e-05,2.962465029465733e-05,3.1786382867826646e-05,4.0513997302871196e-05,4.6315091594140156e-05,4.8695666057252396e-05
902343,802427,812131,224204,638474,4109,837440,437561,621121,437023,9.811687862182339e-08,1.3795799264082476e-06,1.3980388061662907e-06,1.637911659524427e-06,2.0551858650463828e-06,2.275568727672095e-06,2.5748755938526102e-06,3.621013424770503e-06,6.450234429689061e-06,9.74966132094579e-06
297452,627604,142562,831603,494104,653600,507418,968137,984232,9117,3.497112672778968e-07,8.935590501968349e-07,1.8469845556312592e-06,6.264153329937905e-06,8.961447274469236e-06,1.1018379689531344e-05,1.1850237071953096e-05,1.4677245254834936e-05,1.7013487836003982e-05,1.785829776734804e-05
718860,656146,635479,847678,64445,378162,691583,165729,374000,392439,8.777973905527148e-07,9.756542151961867e-07,3.950400953356414e-06,5.144213430896549e-06,5.375214927716421e-06,7.898496544034295e-06,9.774428542774771e-06,1.3445863567440597e-05,2.014041568565439e-05,2.0459054328902937e-05
897085,989104,148419,544672,967496,635283,626742,149094,156342,280853,9.225776173016342e-07,3.906915575169201e-06,4.219289214235644e-06,5.426797182850329e-06,6.4482703809876085e-06,7.185133978127034e-06,1.0884196357752174e-05,1.1059272298497014e-05,1.1961613170297092e-05,1.2696516380916734e-05
727801,233500,774951,812954,352189,414719,863149,977865,389220,476314,3.3941938151205164e-06,4.213870475222592e-06,7.699888412315836e-06,9.887824810150825e-06,1.0400309857550027e-05,1.1942801946940307e-05,1.3092994045282857e-05,1.3265377335813788e-05,1.748898326514592e-05,2.256488654373001e-05
91798,647277,587322,283122,227038,645263,282416,381991,75338,650026,1.2185180392476624e-06,2.5092487602185187e-06,3.1111183521614905e-06,3.15778343606965e-06,4.311358307584889e-06,6.221851789445232e-06,6.543236249267892e-06,8.123204619847613e-06,9.351205310093036e-06,1.2960237649850548e-05
