neighbor_0_id,neighbor_1_id,neighbor_2_id,neighbor_3_id,neighbor_4_id,neighbor_5_id,neighbor_6_id,neighbor_7_id,neighbor_8_id,neighbor_9_id,neighbor_0_dist,neighbor_1_dist,neighbor_2_dist,neighbor_3_dist,neighbor_4_dist,neighbor_5_dist,neighbor_6_dist,neighbor_7_dist,neighbor_8_dist,neighbor_9_dist
556989,88515,978036,160255,670230,180722,528286,585873,136277,668525,16.46632042290374,16.68560905255811,20.627159963097114,21.85228600911188,24.811637341911773,25.216154465817322,26.182461907653842,26.639597339804254,27.48627844011487,28.28816884326026
308219,682378,314993,652280,49573,654786,885074,412677,603816,100828,10.041286938129753,15.63761284190687,15.944202578597244,17.59784027166726,18.36987493185288,22.72251065242393,23.388822221618685,27.997358937592686,28.194187399959752,30.250021176509197
370103,560389,134813,62331,188685,118053,885126,90677,698244,534019,14.92136151716167,15.839249426743333,16.131368395842138,17.306503194069943,18.260946350994093,20.820837525674392,24.88051461313009,25.81929377985489,26.00174947629492,26.632423997938336
953076,434427,233928,675532,53068,482782,892169,878467,725481,444215,14.158951927893037,17.995994807550815,18.541655732755732,19.26391519199689,20.21238862026365,20.52862860602459,20.80137516691374,22.130850007542353,25.389184850812466,25.949197721462934
196367,335695,458799,140604,490096,768835,429306,122158,210551,365953,7.927577813631211,12.86208891790791,13.188728547425368,20.909643783681286,21.968982598431065,22.49576861677956,24.56919862527376,25.767698752514615,26.551581443427676,26.909580903628328
16233,540219,879940,109928,536604,789257,744154,66719,727473,903724,8.230025991451411,9.559774852409285,14.4995562160912,16.31698516586714,16.89018225932529,17.076009965383395,17.23322446991956,19.53202740757634,19.8048839602023,22.806791108217997
719639,241661,825484,482440,168714,621075,563787,142683,937091,850626,11.129161945944036,14.289447517203573,17.66545905591146,22.180467355249274,22.962700331077613,24.20968287499154,25.330434293605748,25.827796218421987,26.001677748722994,27.062292925704103
799096,854226,861127,453349,103668,165230,247803,281387,771818,970253,12.437323582286837,15.105439841835224,17.4348924639616,17.700088252940816,19.055437566805825,21.62966100205421,23.119705320904735,24.400007956136402,25.752589834913245,26.985509603943726
952122,698648,216149,452179,598876,545282,202142,611900,941918,344770,16.68953572023187,17.934925023986935,18.912788084980274,19.36569797458222,19.7970741664603,20.183246974153697,20.224087684336848,21.622724318432944,21.686506135837842,22.69206663438742
108392,352607,26622,824573,694872,597784,634826,97361,493313,955430,15.292313481335132,16.282644876101045,19.16848861936875,20.97852078099814,22.09007811526874,22.402632054211086,26.59240958276332,26.798754154317415,27.676900982318198,28.137787027930756
625544,337079,492282,724115,560990,474139,312035,195652,371659,781408,7.2891484121944625,13.761106198584915,14.635140935092213,16.326980995497188,16.754903224755985,17.92556231492543,19.32910520737804,20.7338988648825,21.330746553426998,24.05819998288901
927096,800510,181633,320797,193285,756088,935943,949626,734059,468230,9.189744240989441,15.780166198844546,16.628076856356138,17.258847777234873,17.3952407842452,19.085275428985558,20.869514533686484,23.005352386377737,23.145455906068477,23.19212926246721
916139,950719,869400,996465,903358,815407,335849,490331,363161,64669,4.6384838875022405,9.243888563734012,9.25633450690956,9.439040690770454,15.273143465231389,18.677220197663498,20.309702004753955,20.65499433883081,22.367755655115147,23.057890527938877
768738,465153,988378,192553,911842,655572,303099,250397,327254,546737,9.439055013482461,13.492361338958672,15.228838899426608,17.249111274228223,17.730954690482722,18.382535708030044,19.757829315673376,19.760912644537385,23.084822015828646,24.05069680136758
713518,103394,836497,773573,300731,871692,256385,384763,253612,644189,3.3538844512082315,14.283980178191145,19.248716718051547,19.665610134973416,20.660072095705306,23.87185220648983,24.161078207481523,24.31180201307836,24.632363164245472,26.79668709447342
66324,69197,491500,965766,497002,811703,306066,824191,492054,597947,3.960510800252882,15.2062708989619,16.399184465660984,16.501770979963958,17.776428547171857,21.72327113940484,22.34312070488638,22.44913237164759,23.234845351529618,23.96794592345872
582385,188434,334928,727127,419993,496204,913529,19819,196167,122649,10.153742146853581,11.916727482305989,15.071912719886848,20.922474757989026,20.92401929326154,21.13754692096596,21.201134953179512,22.123441054024745,22.22970481770164,26.282450870821258
274644,217071,597540,171644,577810,758437,401665,816882,249679,690721,11.017592195131805,13.695199568130391,13.825474769646066,15.366499698096728,17.993232819271835,21.56570907518443,22.374712785059188,23.22264022090686,23.539794460606174,24.964333802527417
845857,720987,388579,982008,171883,434446,295629,101405,367514,931436,9.751603539963575,19.33870144649603,20.229892895329158,20.699789839751407,21.06097262988019,21.07365273859252,22.431665279315094,24.68505925258322,24.709799127379103,25.567192349468115
959446,649288,374905,136196,218244,632832,128607,46918,659842,365735,18.93831112338599,20.671017925040374,20.984021305506435,21.063898902204368,22.798047028843058,23.135436929912554,24.65313376076142,25.370735977906648,25.446672981056068,27.374237840464076
277134,288097,188534,100653,685845,22943,105328,758507,969980,780785,5.987222487337718,13.078908889157825,14.447839594474447,15.068282613192547,22.902943735040378,23.61904035786162,24.72770117283644,25.245793244893083,25.638626898077497,26.6801433809653
361030,382307,937327,382104,450330,257977,430824,672239,817081,196050,7.21943002395537,13.190640435246001,15.524678888563448,16.045425472632104,19.9620756216749,21.944538871138445,26.90892290520379,29.46153452850615,31.695409307076822,31.791405696553447
197846,872232,104982,832509,373791,228415,226583,977737,489922,796702,12.06107564819122,14.22120834951251,22.794658241871183,23.211270915716362,23.230472308315335,24.231436360271292,24.255814571017286,28.50844090808003,29.77377953506461,29.90760946716499
835066,752728,132139,406532,915499,543493,54145,826019,153777,130434,7.374721952255527,17.48706408330317,17.980345921561888,20.95578579019564,21.29998190985069,22.04759381918624,23.844365371135215,24.720194001025803,25.208886383519744,25.264725998540683
986644,159600,93332,459229,774262,922675,197212,752213,573273,829233,5.173902750990245,9.833817929902668,10.09104421909794,15.65741871009654,18.839409416032964,19.90255374006984,21.078369370948277,21.19190999052839,21.663370730725042,21.687055057115753
184543,86934,10292,755196,287266,718796,321876,171819,661108,187957,7.8511711521114895,9.81559387359997,13.581253354529991,16.61812797512601,17.589797816501758,20.590627084888435,21.91313731371799,22.710246966322647,25.913959980432214,26.133309183989113
566090,54332,290453,958052,591975,914602,939581,573139,775093,743571,12.423282069447026,17.717151356256643,19.664883940493798,20.214572482699072,20.93024199740171,22.361769614752323,23.761665594522253,24.222869517008142,26.28713487934968,27.467836324144795
437340,911790,584293,358956,688424,751656,836496,403809,911364,881715,14.627722685052955,16.89247329625827,18.17694208432248,19.138660450515506,19.4114076609663,20.87515901321557,21.33228752967634,21.842241769701765,22.1375467496817,23.10909593614375
